video_folder,avg_mean_magnitude,avg_variance_magnitude
031-scannet-scene0787_00,5.0548925,40.408413
151-scannet-scene0217_00,2.6078436,48.587452
048-scannet-scene0745_00,4.91743,29.829762
178-scannet-scene0685_02,2.6674461,17.614286
013-scannet-scene0720_00,2.1270554,16.473875
188-scannet-scene0593_00,3.5305042,49.29597
170-scannet-scene0378_01,7.308023,187.68452
135-scannet-scene0131_00,3.0055547,31.126558
150-scannet-scene0648_00,4.902189,33.45965
186-scannet-scene0549_01,2.694638,25.36194
155-scannet-scene0164_02,5.319073,69.04581
176-scannet-scene0643_00,3.4972227,32.340126
147-scannet-scene0699_00,3.6775608,30.400055
161-scannet-scene0583_00,2.3974469,77.118515
130-scannet-scene0696_00,4.935009,33.79409
162-scannet-scene0535_00,5.1222267,53.688095
113-scannet-scene0207_00,4.016128,56.090588
171-scannet-scene0222_01,3.6226592,17.252234
152-scannet-scene0494_00,3.1010253,40.892345
124-scannet-scene0131_02,3.1561117,29.038378
101-scannet-scene0256_00,3.3681219,26.88043
003-scannet-scene0762_00,4.3742576,149.39426
144-scannet-scene0700_01,3.9265206,160.12585
138-scannet-scene0500_01,4.480602,44.299305
185-scannet-scene0435_00,3.319947,55.990063
166-scannet-scene0435_03,3.2100182,36.842773
149-scannet-scene0426_02,2.4134388,29.903801
127-scannet-scene0578_00,1.6099564,13.252382
102-scannet-scene0222_00,3.364704,16.608856
103-scannet-scene0527_00,0.9523867,11.658964
157-scannet-scene0015_00,2.5894046,28.033998
163-scannet-scene0164_03,4.775746,52.99389
105-scannet-scene0207_01,3.4253953,36.03018
175-scannet-scene0329_01,2.963791,40.938164
145-scannet-scene0193_00,2.2256014,24.351908
046-scannet-scene0724_00,2.817418,28.452578
140-scannet-scene0077_00,0.7785988,7.9491796
146-scannet-scene0518_00,3.5208592,32.349598
106-scannet-scene0633_00,2.3698318,20.837444
110-scannet-scene0050_00,4.0975018,23.30671
128-scannet-scene0678_02,4.259882,35.693417
109-scannet-scene0648_01,5.579001,38.922287
116-scannet-scene0077_01,3.4634984,19.178051
123-scannet-scene0412_01,3.9508715,52.82922
112-scannet-scene0591_02,3.3954735,71.767296
111-scannet-scene0550_00,2.0922608,17.493431
180-scannet-scene0100_02,1.7025753,10.846016
126-scannet-scene0574_02,1.904315,13.881558
160-scannet-scene0488_01,2.3232234,61.24287
169-scannet-scene0695_01,2.809147,29.339462
182-scannet-scene0645_00,2.0679612,23.013115
137-scannet-scene0598_01,4.3470135,108.97441
014-scannet-scene0714_00,5.654869,32.972324
132-scannet-scene0645_01,2.2091815,18.819494
047-scannet-scene0747_00,5.483938,55.953335
100-scannet-scene0598_00,3.6149068,21.353182
179-scannet-scene0300_01,2.5082862,18.622862
142-scannet-scene0653_01,4.5264416,49.169025
115-scannet-scene0046_02,3.5259392,49.934086
114-scannet-scene0084_00,2.1398442,30.226097
173-scannet-scene0278_01,4.772304,56.41558
158-scannet-scene0356_00,1.9707925,34.50609
156-scannet-scene0461_00,2.771113,127.38343
177-scannet-scene0608_02,2.4031887,15.059658
168-scannet-scene0655_01,2.7923534,94.01971
129-scannet-scene0575_00,1.5124563,14.434809
181-scannet-scene0314_00,4.336329,19.173418
108-scannet-scene0354_00,1.9384243,12.737846
037-scannet-scene0763_00,5.589392,47.55667
154-scannet-scene0193_01,3.3125262,41.14843
139-scannet-scene0647_00,2.5347128,16.411304
121-scannet-scene0462_00,2.5637069,33.12187
148-scannet-scene0203_01,9.731886,114.44741
167-scannet-scene0307_01,6.115982,55.908245
122-scannet-scene0647_01,2.7299166,22.642471
141-scannet-scene0651_01,2.137875,45.746437
125-scannet-scene0426_00,3.0544922,32.851967
002-scannet-scene0709_00,3.826146,89.16282
187-scannet-scene0655_02,2.8685155,98.28496
172-scannet-scene0496_00,3.718954,43.224632
133-scannet-scene0704_00,2.6562476,10.587035
189-scannet-scene0500_00,6.039065,78.90012
104-scannet-scene0616_01,4.7772255,64.0049
183-scannet-scene0231_01,4.553081,41.904152
012-scannet-scene0785_00,1.8836951,16.621498
165-scannet-scene0406_00,2.2812016,40.489925
120-scannet-scene0684_01,1.073741,14.137161
174-scannet-scene0086_01,7.0517936,112.425125
134-scannet-scene0695_03,3.5779054,30.090588
